GPU;Avg. eBay Price (Jan 2022);Mining Performance;Mining Power;Daily Profit;Days to Break Even
GeForce GTX 1060 6GB;$300;25;90;$0.76;393
Radeon RX 570 8GB;$357;29.8;130;$0.85;418
GeForce GTX 1080;$457;36.1;138;$1.08;422
GeForce GTX 1070;$368;29.2;114;$0.87;423
Radeon RX 5600 XT;$543;39.6;115;$1.27;426
Radeon RX 5500 XT 8GB;$365;26.3;81;$0.84;437
GeForce RTX 3060;$711;48.6;118;$1.62;439
GeForce RTX 3060 Ti;$923;60.6;116;$2.09;441
Radeon RX 5700 XT;$810;53.8;125;$1.81;449
Radeon RX 580 8GB;$389;30.3;135;$0.86;451
GeForce RTX 2060 Super;$640;43.7;129;$1.40;457
GeForce RTX 2070;$643;43.8;130;$1.40;458
Radeon RX 5700;$794;52.3;133;$1.73;459
GeForce GTX 1660 Ti;$459;29.7;73;$0.99;465
GeForce GTX 1070 Ti;$431;31.2;124;$0.92;467
Radeon RX 590;$410;30.8;138;$0.87;469
GeForce GTX 1660;$401;25.3;70;$0.82;488
GeForce GTX 1660 Super;$498;30.2;75;$1.00;497
GeForce RTX 2060;$518;33;105;$1.04;498
GeForce RTX 2070 Super;$704;43.9;128;$1.41;499
GeForce GTX 1080 Ti;$658;44.7;187;$1.30;506
GeForce RTX 3080;$1,613;94;220;$3.15;512
GeForce RTX 3070;$1,086;61.3;123;$2.10;516
GeForce RTX 2080;$751;43.8;119;$1.43;526
Radeon RX Vega 64;$647;45.5;234;$1.22;531
Radeon RX 6800;$1,150;64.5;166;$2.13;541
Radeon VII;$1,517;85.6;231;$2.80;542
Radeon RX 6700 XT;$847;47.1;120;$1.56;544
Radeon RX Vega 56;$636;40.2;174;$1.16;550
Radeon RX 6600;$516;28.5;75;$0.94;552
Radeon RX 6600 XT;$610;32.3;75;$1.08;563
GeForce RTX 2080 Super;$824;43.9;124;$1.42;580
GeForce RTX 2080 Ti;$1,127;60.1;180;$1.92;587
GeForce RTX 3060 Ti LHR;$844;42.4;114;$1.39;609
Radeon RX 6800 XT;$1,269;64.6;186;$2.08;609
GeForce RTX 3060 LHR;$657;34;110;$1.07;616
GeForce RTX 3090;$2,609;115;285;$3.82;683
GeForce RTX 3070 LHR;$995;42.9;120;$1.39;715
GeForce RTX 3070 Ti LHR;$1,179;51;155;$1.62;726
Radeon RX 6900 XT;$1,528;64.6;183;$2.09;731
GeForce RTX 3080 LHR;$1,535;65.8;215;$2.06;745
GeForce RTX 3050 LHR;$539;23;75;$0.72;748
GeForce RTX 3080 Ti LHR;$1,874;77;220;$2.49;754
